name,description,price,category,color,material,style,bag_type,closure,handle,strap,occasion,gender,pattern,hardware,surface_work,shape,brand,image,discount
Purse,"Vintage, luxury and ethnic-inspired handbag suitable for casual, office, party, shopping and special occasions.",5000,Purse,Brown & Black,,Vintage / Luxury / Ethnic-Inspired,Handbag / Top Handle Bag,Metal Clasp,Top Handle,,"Casual, Office, Party, Shopping & Special Occasions",,,,,,S&J,/productImages/purse1.jpeg,0
S&J Womenâ€™s Elegant Quilted Handbag,Elegant and sophisticated quilted handbag designed for versatile everyday and occasion use.,10000,Purse,Cream White,Premium textured synthetic leather,"Elegant, sophisticated & versatile",Handbag / Tote Bag,Top zip closure,Double padded top handles,Detachable/adjustable shoulder strap,"Casual outings, office, shopping, parties & daily use",Women,Diamond quilted pattern,,,,S&J,/productImages/purse2.jpeg,0
S&J Black Handbag,"Simple, stylish, classy and elegant handbag for office, party and daily use.",15000,Purse,Black,Leather,Classy & elegant,Handbag,,Top handle,Detachable shoulder strap,"Office, party & daily use",Women,Plain,,,,S&J,/productImages/purse3.jpeg,0
Minimalist Dual-Tone Backpack,"Minimalist dual-tone backpack designed as a casual, office, college and daily-wear daypack.",10000,Purse,Off-White & Brown,High-Quality Faux Leather / PU Leather,Casual / Office / College / Daily Wear Daypack,Backpack,Front Flap with Snap Button,Top Handle,Adjustable Shoulder Straps,"Casual, Office, College & Daily Wear",Women / Girls,Dual-Tone,Gold-Tone Metal,,,S&J,/productImages/purse4.jpeg,0
Purse,"Pearl handbag / evening frame clutch designed for party wear, weddings, bridal and festive events.",20000,Purse,White / Off-White with Pearl finish; Gold shimmer background,,Evening / Party / Bridal,Pearl Handbag / Evening Frame Clutch,Double-ball Kiss Lock Clasp,Curved Metallic Top Handle,,"Party Wear, Weddings, Bridal & Festive Events",,,Golden with Rhinestones,All-over White Pearl Beading & Rhinestone Accents,Trapezoid Frame Bag,S&J,/productImages/purse5.jpeg,0
Purse,"Beaded sling bag / potli bag with flap, handcrafted for occasion and festive styling.",10000,Purse,White / Off-White,"White seed beads, white pearls and real natural seashells including cowrie shells",Occasion / Festive / Beach,Beaded Sling Bag / Potli Bag,Front flap closure with magnetic snap,Attached top pearl handle,,"Occasion wear, beach parties, wedding guest & festive styling",,,,"White seed beads, white pearls & natural seashells",Rectangular with rounded top corners,S&J,/productImages/purse6.jpeg,0
Purse,"Structured colorblock tote bag with a multi-texture finish, designed for formal, office, daily utility and casual use.",6000,Purse,Beige & Cream,High-Quality Synthetic Leather (PU),Formal / Office / Daily / Casual,Structured Tote Bag / Handbag,Top Zipper Closure,Dual Structured Top Handles,,"Formal, Office Wear, Daily Utility & Casual Outings",,Colorblock,Gold-tone Metal Plate with S&J Logo,Brown Snakeskin Texture Center Stripe & Tan Croco-Texture Side Borders,Rectangular Structured Tote,S&J,/productImages/purse7.jpeg,0
Purse,Slouchy hobo / crescent shoulder bag with a micro-textured finish and decorative leather tassels.,10000,Purse,Tan Brown / Chestnut Brown,Synthetic leather,Casual / Everyday / Travel,Slouchy Hobo Handbag / Shoulder Bag,Main Top Zipper Closure with central magnetic tab,Dual Structured Shoulder Straps,Dual Structured Shoulder Straps,"Casual Outings, Everyday Use, Travel & College/Work Wear",,Micro-textured honeycomb/python scale,Rivet hardware & metallic tassel caps,Micro-textured honeycomb/python scale pattern; long dual leather tassels,Slouchy Hobo / Crescent Shape,S&J,/productImages/purse8.jpeg,0
S&J Elegance Purple Sunglasses,"Rose-gold metal sunglasses with purple gradient polarized lenses, UV400 protection, and a lightweight comfort fit.",4999,Sunglasses,Purple Gradient,Metal,Elegant / Luxury / Everyday,Sunglasses,,,,"Casual, Travel, Party & Everyday Wear",Women,Gradient,Gold-tone Metal,,Cat Eye,S&J,/productImages/sunglass1.jpeg,0
S&J Chic Brown Sunglasses,"Gold metal sunglasses with brown gradient polarized lenses, UV400 protection, and a lightweight comfort fit.",5199,Sunglasses,Brown Gradient,Metal,Chic / Luxury / Everyday,Sunglasses,,,,"Casual, Travel, Party & Everyday Wear",Women,Gradient,Gold-tone Metal,,Round,S&J,/productImages/sunglass2.jpeg,0
S&J Cat Eye Pink Sunglasses,"Transparent pink cat-eye sunglasses with pink gradient lenses, UV400 protection, and a lightweight comfort fit.",4899,Sunglasses,Pink Gradient,Acetate,Modern / Feminine / Luxury,Sunglasses,,,,"Casual, Travel, Party & Everyday Wear",Women,Gradient,Gold-tone Metal,,Cat Eye,S&J,/productImages/sunglass3.jpeg,0
S&J Rimless Gradient Sunglasses,Black and gold rimless sunglasses with grey gradient polarized lenses and UV400 protection.,5299,Sunglasses,Grey Gradient,Metal,Rimless / Modern / Luxury,Sunglasses,,,,"Travel, Party, Driving & Everyday Wear",Unisex,Gradient,Gold-tone Metal,,Rimless Rectangle,S&J,/productImages/sunglass4.jpeg,0
S&J Aviator Gold Green Sunglasses,"Gold aviator sunglasses with green polarized lenses, UV400 protection, and a lightweight comfort fit.",5099,Sunglasses,G-15 Green,Metal,Aviator / Classic / Luxury,Sunglasses,,,,"Travel, Driving, Casual & Everyday Wear",Unisex,Classic,Gold-tone Metal,,Aviator,S&J,/productImages/sunglass5.jpeg,0
